iter	Passed	Remaining
794	66349	17108
795	66427	17024
796	66514	16941
797	66602	16859
798	66685	16775
799	66756	16689
800	66849	16608
801	66933	16524
802	67035	16445
803	67146	16368
804	67237	16287
805	67337	16207
806	67430	16126
807	67511	16042
808	67601	15960
809	67698	15879
810	67777	15795
811	67864	15712
812	67949	15629
813	68048	15549
814	68145	15468
815	68230	15385
816	68310	15300
817	68421	15223
818	68505	15139
819	68600	15058
820	68693	14976
821	68799	14898
822	68906	14819
823	69004	14738
824	69092	14655
825	69176	14572
826	69246	14485
827	69322	14400
828	69403	14316
829	69488	14232
830	69587	14151
831	69667	14067
832	69756	13984
833	69839	13900
834	69921	13816
835	70014	13734
836	70100	13651
837	70189	13568
838	70267	13483
839	70350	13400
840	70437	13317
841	70544	13237
842	70651	13158
843	70728	13073
844	70819	12990
845	70912	12908
846	71000	12825
847	71086	12741
848	71164	12657
849	71258	12574
850	71359	12494
851	71450	12411
852	71529	12326
853	71607	12242
854	71696	12159
855	71786	12076
856	71885	11994
857	71969	11911
858	72060	11828
859	72130	11742
860	72209	11657
861	72306	11575
862	72391	11491
863	72484	11409
864	72569	11325
865	72643	11240
866	72715	11154
867	72808	11072
868	72927	10993
869	73028	10912
870	73106	10827
871	73196	10744
872	73289	10661
873	73401	10581
874	73507	10501
875	73599	10418
876	73675	10332
877	73747	10247
878	73830	10163
879	73915	10079
880	74003	9995
881	74084	9911
882	74167	9827
883	74251	9743
884	74330	9658
885	74421	9575
886	74506	9491
887	74619	9411
888	74725	9330
889	74816	9246
890	74906	9163
891	75006	9081
892	75101	8998
893	75184	8914
894	75263	8829
895	75354	8746
896	75468	8665
897	75558	8582
898	75665	8500
899	75746	8416
900	75829	8331
901	75916	8248
902	76001	8164
903	76085	8079
904	76184	7997
905	76272	7913
906	76349	7828
907	76439	7744
908	76528	7661
909	76611	7576
910	76715	7494
911	76806	7411
912	76889	7326
913	76975	7242
914	77065	7159
915	77159	7075
916	77235	6990
917	77310	6905
918	77395	6821
919	77480	6737
920	77558	6652
921	77655	6569
922	77751	6486
923	77850	6403
924	77943	6319
925	78022	6235
926	78104	6150
927	78184	6066
928	78272	5982
929	78355	5897
930	78447	5814
931	78531	5729
932	78610	5645
933	78705	5561
934	78796	5477
935	78868	5392
936	78949	5308
937	79044	5224
938	79117	5139
939	79205	5055
940	79298	4971
941	79382	4887
942	79473	4803
943	79566	4720
944	79657	4636
945	79739	4551
946	79817	4467
947	79905	4383
948	79982	4298
949	80071	4214
950	80153	4129
951	80237	4045
952	80325	3961
953	80419	3877
954	80496	3793
955	80575	3708
956	80652	3623
957	80734	3539
958	80810	3454
959	80894	3370
960	80973	3286
961	81045	3201
962	81124	3116
963	81202	3032
964	81283	2948
965	81374	2864
966	81463	2780
967	81538	2695
968	81619	2611
969	81692	2526
970	81767	2442
971	81853	2357
972	81943	2273
973	82032	2189
974	82121	2105
975	82215	2021
976	82288	1937
977	82364	1852
978	82453	1768
979	82532	1684
980	82607	1599
981	82687	1515
982	82761	1431
983	82836	1346
984	82914	1262
985	83006	1178
986	83092	1094
987	83171	1010
988	83261	926
989	83347	841
990	83428	757
991	83519	673
992	83603	589
993	83686	505
994	83772	420
995	83854	336
996	83934	252
997	84043	168
998	84138	84
999	84227	0
